EVENT,URL,DATE,LOCATION
UFC Fight Night: Gamrot vs. Salkilld, http://ufcstats.com/event-details/495add4fbede0a44, 08/08/2026, "Las Vegas, Nevada, USA"
UFC 330: Makhachev vs. Machado Garry, http://ufcstats.com/event-details/b96619b3acd7d9da, 15/08/2026, "Philadelphia, Pennsylvania, USA"
UFC Fight Night: Hernandez vs. Rodrigues, http://ufcstats.com/event-details/a0a69dc9914ef6e1, 22/08/2026, "Sacramento, California, USA"
